ab	\u0426\u0430\u0441\u0442\u04d9\u0438
sah	\u0410\u043d\u0430\u043b\u043b\u0430\u0430\u0445
sc	Ispetziale
scn	Spiciali
sco	Special
sd	\u062e\u0627\u0635
se	Erenoam\u00e1\u0161
sg	Sp\u00e9cial
sh	Posebno
si	\u0dc0\u0dd2\u0dc1\u0dda\u0dc2
simple	Special
sk	\u0160peci\u00e1lne
sl	Posebno
sm	Special
sn	Special
so	Special
sq	Speciale
sr	\u041f\u043e\u0441\u0435\u0431\u043d\u043e
srn	Spesyal
ss	Special
st	Special
stq	Spezial
su	Husus
sv	Special
sw	Maalum
szl	Szpecyjalna
ta	\u0b9a\u0bbf\u0bb1\u0baa\u0bcd\u0baa\u0bc1
te	\u0c2a\u0c4d\u0c30\u0c24\u0c4d\u0c2f\u0c47\u0c15
tet	Espesi\u00e1l
tg	\u0412\u0438\u0436\u0430
th	\u0e1e\u0e34\u0e40\u0e28\u0e29
ti	Special
tk	\u00dd\u00f6rite
tl	Natatangi
tn	Special
to	Special
tpi	Sipesol
tr	\u00d6zel
ts	Special
tt	\u041c\u0430\u0445\u0441\u0443\u0441
tum	Special
tw	Special
ty	Sp\u00e9cial
tyv	\u0422\u0443\u0441\u043a\u0430\u0439
udm	\u041f\u0430\u043d\u0435\u043b\u044c
ug	\u0626\u0627\u0644\u0627\u06be\u0649\u062f\u06d5
uk	\u0421\u043f\u0435\u0446\u0456\u0430\u043b\u044c\u043d\u0430
ur	\u062e\u0627\u0635
uz	Maxsus
ve	Special
vec	Speciale
vep	Specialine
vi	\u0110\u1eb7c bi\u1ec7t
vls	Specioal
vo	Patikos
wa	Sipeci\u00e5s
war	Pinaurog
wo	Jagleel
wuu	\u7279\u6b8a
xal	\u041a\u04e9\u0434\u043b\u0445\u043d\u04d9
xh	Special
xmf	\u10e1\u10de\u10d4\u10ea\u10d8\u10d0\u10da\u10e3\u10e0\u10d8
yi	\u05d1\u05d0\u05b7\u05d6\u05d5\u05e0\u05d3\u05e2\u05e8
yo	P\u00e0t\u00e0k\u00ec
za	\u7279\u6b8a
zea	Speciaol
zh	Special
zh-classical	Special
zh-min-nan	Tek-pia\u030dt
zh-yue	Special
zu	Special
